[INFO] 2025-12-17 01:11:12 - Banco de dados inicializado com sucesso.
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:15 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-shm
[INFO] 2025-12-17 01:11:16 - SMC: Evento detectado: ENTRY_CREATE em /home/rodrigues/Documentos/Painel_monitoramento/database.db-wal
